vib,modality,vision,par_id,traj_ind,x,y
novib,limb,preview,3,85,-233.1735286,175.0483143
novib,limb,preview,3,90,-232.1374571,176.2957286
novib,limb,preview,3,95,-232.0425429,177.0049143
novib,limb,preview,3,100,-232.6411571,177.4865571
novib,limb,preview,4,0,-413.1415,7.836946667
novib,limb,preview,4,5,-407.3729467,14.29605333
novib,limb,preview,4,10,-401.2824733,22.01746667
novib,limb,preview,4,15,-393.9188867,34.16315333
novib,limb,preview,4,20,-386.28792,47.54468
novib,limb,preview,4,25,-375.6656533,65.54080667
novib,limb,preview,4,30,-366.6633933,79.27109333
novib,limb,preview,4,35,-352.2762333,99.15828
novib,limb,preview,4,40,-335.8850333,118.0175333
novib,limb,preview,4,45,-319.53412,134.0485067
novib,limb,preview,4,50,-298.77644,150.3500667
novib,limb,preview,4,55,-288.4622533,157.1991533
novib,limb,preview,4,60,-274.9690267,165.62206
novib,limb,preview,4,65,-262.37438,172.55132
novib,limb,preview,4,70,-251.3693,177.9632333
novib,limb,preview,4,75,-242.5486467,181.77428
novib,limb,preview,4,80,-237.7241933,183.676
novib,limb,preview,4,85,-233.20852,185.7253133
novib,limb,preview,4,90,-228.0049333,187.4823733
novib,limb,preview,4,95,-224.7124467,188.6732933
novib,limb,preview,4,100,-222.76432,189.9624867
novib,limb,preview,6,0,-403.0819769,9.438461538
novib,limb,preview,6,5,-398.4499846,20.93963846
novib,limb,preview,6,10,-394.9144615,29.10036154
novib,limb,preview,6,15,-385.6997692,46.10773077
novib,limb,preview,6,20,-373.0729462,64.51142308
novib,limb,preview,6,25,-359.2492077,82.4181
novib,limb,preview,6,30,-346.7737923,96.18768462
novib,limb,preview,6,35,-327.2402615,115.1518769
novib,limb,preview,6,40,-311.6899077,128.5687308
novib,limb,preview,6,45,-294.9069231,141.8868154
novib,limb,preview,6,50,-277.3357154,154.3851846
novib,limb,preview,6,55,-267.3706385,160.9026385
novib,limb,preview,6,60,-256.3385154,168.1659308
novib,limb,preview,6,65,-248.5157538,172.8242846
novib,limb,preview,6,70,-240.4595923,177.7870692
novib,limb,preview,6,75,-234.0488231,181.7517846
novib,limb,preview,6,80,-231.7141923,183.1671077
novib,limb,preview,6,85,-228.7894615,185.1388154
novib,limb,preview,6,90,-227.0734231,186.2338615
novib,limb,preview,6,95,-225.8251077,186.6212308
novib,limb,preview,6,100,-225.0715,187.1030077
novib,limb,preview,7,0,-403.4486286,7.893514286
novib,limb,preview,7,5,-399.0147643,16.87768571
novib,limb,preview,7,10,-392.2102143,28.59657857
novib,limb,preview,7,15,-384.7320571,39.96182857
novib,limb,preview,7,20,-376.99175,50.80920714
novib,limb,preview,7,25,-364.1342429,67.00774286
novib,limb,preview,7,30,-351.6445643,81.31869286
novib,limb,preview,7,35,-337.7217857,95.62643571
novib,limb,preview,7,40,-320.58285,111.6258
novib,limb,preview,7,45,-303.6527857,126.1560071
novib,limb,preview,7,50,-288.0902571,138.7211286
novib,limb,preview,7,55,-284.7268071,141.3566929
novib,limb,preview,7,60,-271.9778286,151.3763143
novib,limb,preview,7,65,-260.8369286,159.7982857
novib,limb,preview,7,70,-251.2235571,166.7035929
novib,limb,preview,7,75,-244.9953643,171.2110571
novib,limb,preview,7,80,-239.7482857,174.9300643
novib,limb,preview,7,85,-236.6639643,177.0594714
novib,limb,preview,7,90,-233.2023357,179.5918143
novib,limb,preview,7,95,-231.4706643,181.1402429
novib,limb,preview,7,100,-230.0756214,182.4841429
novib,limb,preview,8,0,-398.6338,4.703773333
novib,limb,preview,8,5,-395.3765267,8.160293333
novib,limb,preview,8,10,-388.9605,16.17186667
novib,limb,preview,8,15,-378.5767133,28.86075333
novib,limb,preview,8,20,-364.1556333,45.73783333
novib,limb,preview,8,25,-346.9148667,64.47465333
novib,limb,preview,8,30,-328.78552,82.49293333
novib,limb,preview,8,35,-309.84256,100.40088
novib,limb,preview,8,40,-289.9751,117.74494
novib,limb,preview,8,45,-272.90474,131.8919333
novib,limb,preview,8,50,-252.09734,148.9703
novib,limb,preview,8,55,-243.3247133,156.54012
novib,limb,preview,8,60,-234.4195267,164.4646733
novib,limb,preview,8,65,-227.45036,171.2120067
novib,limb,preview,8,70,-223.1229467,176.5252133
novib,limb,preview,8,75,-220.89022,180.09226
novib,limb,preview,8,80,-220.1820133,181.9162067
novib,limb,preview,8,85,-220.0017733,183.4374533
novib,limb,preview,8,90,-220.0104,184.67702
novib,limb,preview,8,95,-220.2296467,185.2657733
novib,limb,preview,8,100,-220.46018,185.6550333
novib,limb,preview,9,0,-399.8386071,-5.957964286
novib,limb,preview,9,5,-397.3578071,-1.60026
novib,limb,preview,9,10,-392.3481571,6.679757143
novib,limb,preview,9,15,-388.3166571,13.20139286
novib,limb,preview,9,20,-381.0526857,24.52665714
novib,limb,preview,9,25,-370.51295,40.08247857
novib,limb,preview,9,30,-361.7443357,52.22824286
novib,limb,preview,9,35,-349.0212857,67.51717857
novib,limb,preview,9,40,-340.0774071,77.78977143
novib,limb,preview,9,45,-325.9352643,92.39283571
novib,limb,preview,9,50,-309.7609857,106.9068214
novib,limb,preview,9,55,-299.148,115.27015
novib,limb,preview,9,60,-284.4760429,126.2036
novib,limb,preview,9,65,-275.2002857,132.7209143
novib,limb,preview,9,70,-261.2945,141.3627214
novib,limb,preview,9,75,-250.2820357,147.2407929
novib,limb,preview,9,80,-242.5857,150.5644714
novib,limb,preview,9,85,-235.5351286,153.9329143
novib,limb,preview,9,90,-231.2975786,155.7066857
novib,limb,preview,9,95,-228.1489429,157.6758857
novib,limb,preview,9,100,-226.1202214,159.4292786
novib,limb,preview,10,0,-407.1279929,23.04297143
novib,limb,preview,10,5,-403.1431214,30.01842143
novib,limb,preview,10,10,-399.5266786,34.94197857
novib,limb,preview,10,15,-388.5625571,49.09049286
