location,target,cue_ind,soa,screen_calib_routine.thisRepN,screen_calib_routine.thisTrialN,screen_calib_routine.thisN,screen_calib_routine.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_welcome.started,text_welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,trial_type,text_4.started,text_4.stopped,screen_calib_circle_2.started,screen_calib_circle_2.stopped,calib_start.started,calib_start.stopped,screen_calib_circle.started,screen_calib_circle.stopped,text_5.started,text_5.stopped,sound_2.started,sound_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_7.started,text_7.stopped,keep_trial,text_instr_2.started,text_instr_2.stopped,soa_actual,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,participant,expVersion,age,sex,date,expName,psychopyVersion,frameRate,
,1,2,100,,,,,3,5,53,4,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11670289999892702,space,0.636498700001539,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,100,,,,,3,6,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11662150000120164,space,0.47546409999995376,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,350,,,,,3,7,55,13,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.3666646999990917,space,0.9508792999986326,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,350,,,,,3,8,56,5,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.3666677000001073,space,0.6341744999990624,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,100,,,,,3,9,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11670219999723486,space,1.2775442999991355,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,1100,,,,,3,10,58,11,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1166911000000255,space,0.8558053000015207,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,1100,,,,,3,11,59,7,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.116679999999178,space,1.408049800000299,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,350,,,,,3,12,60,9,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.36665720000019064,space,0.8318570000010368,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,850,,,,,3,13,61,2,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8667002999973192,space,1.429407399999036,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,350,,,,,3,14,62,1,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.36665809999976773,space,0.6221480999993219,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,1100,,,,,3,15,63,15,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1166946000012103,space,0.756008300002577,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,350,,,,,4,0,64,9,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.3666771999996854,space,0.8012645999988308,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,1100,,,,,4,1,65,7,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1166277000011178,space,0.6826041999993322,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,850,,,,,4,2,66,14,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8666869000007864,space,0.6472700000012992,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,350,,,,,4,3,67,1,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.36667469999883906,space,1.4183864999977231,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,100,,,,,4,4,68,12,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11671279999791295,space,1.2343387000000803,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,100,,,,,4,5,69,8,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11667160000069998,space,0.7650394999982382,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,850,,,,,4,6,70,2,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8666802999978245,space,0.8541694999985339,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,1100,,,,,4,7,71,3,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1167101999999431,space,1.3922570000031556,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,100,,,,,4,8,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11662649999925634,space,0.6576337000005879,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,350,,,,,4,9,73,13,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.3666510000002745,space,3.5081433999985165,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,850,,,,,4,10,74,6,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8667024999995192,space,1.9250317000005452,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,850,,,,,4,11,75,10,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8667141999976593,space,1.4089846999995643,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,100,,,,,4,12,76,4,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11680039999919245,space,0.7873514000020805,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,1100,,,,,4,13,77,11,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1166783000007854,space,0.8312908000007155,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,350,,,,,4,14,78,5,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.36670320000121137,space,2.482088199998543,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,1100,,,,,4,15,79,15,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1164482000021962,space,2.256307100000413,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
